89	9	69	36	0	257	84	494	538	4	0	0	7	0	0	0	631	126	3493	1769	1972	1834	30	0	0	3678	1964	3793	49	0	0	38	84	50	49	0	0	0	0	0	0	0	0	51	0	0	31	0	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	5	34	10	0	97	10	293	134	4	0	0	1	0	0	0	154	5	1594	1184	377	198	16	0	0	2148	431	1117	69	0	0	23	11	11	3	1	0	0	0	0	0	0	0	24	0	0	15	3	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	7	55	20	1	218	30	414	308	2	12	5	5	0	0	0	586	25	3264	1504	1201	680	13	30	10	3114	1115	2216	29	36	56	52	77	50	21	0	0	0	0	0	0	0	0	48	106	39	10	0	0	0	0	0	0	0	0	0	30	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	12	87	64	2	332	200	627	903	8	24	20	14	1	0	0	867	406	4575	2292	3339	4138	65	94	88	4570	3022	6437	112	61	227	52	200	67	112	0	17	0	0	1	5	0	0	52	156	135	79	3	5	0	10	0	0	0	1	1	75	1	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	14	116	89	2	444	341	821	1421	15	39	22	23	1	1	0	1060	880	6202	2780	5224	7878	102	179	110	5933	5508	9840	211	184	416	66	350	163	255	2	15	11	11	2	2	0	0	58	251	160	178	3	7	16	10	0	0	0	7	0	113	3	9	13	1	1	0	0	0	1	0	0	0	0	0	0	0	0
249	10	94	44	1	445	112	645	793	17	19	8	17	0	0	0	1392	182	5946	2100	3620	2910	170	88	28	4593	3446	5315	228	77	144	54	295	119	119	5	0	0	0	1	3	0	0	40	121	67	135	0	0	0	0	0	0	0	5	0	58	1	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	6	50	15	0	201	20	393	244	9	0	0	3	0	0	0	517	15	2992	1504	952	476	64	0	0	2937	934	1866	164	0	0	39	53	26	12	2	0	0	0	0	0	0	0	28	0	0	42	1	0	0	0	0	0	0	0	0	22	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	7	58	20	1	228	30	475	323	5	23	5	1	0	0	0	564	25	3610	1881	1241	710	39	118	10	3456	1247	2583	79	130	115	53	9	5	5	0	0	0	0	0	0	0	0	54	192	35	26	2	0	0	0	0	0	0	3	0	30	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	8	65	26	2	247	45	488	407	2	36	10	6	0	1	0	578	45	3617	1779	1492	1021	15	145	20	3711	1544	2980	34	157	175	37	92	44	30	0	0	10	5	0	0	0	0	53	286	73	11	1	0	14	0	0	0	0	1	0	27	3	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
214	13	91	78	0	318	286	657	1074	8	0	0	9	0	0	0	746	715	4566	2299	3679	5808	51	0	0	4849	3531	7569	120	0	0	66	137	67	99	1	0	0	0	0	0	0	0	57	0	0	93	1	0	0	0	0	0	0	0	0	89	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
